Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$278,715",Jackie,Fox Searchlight,"December 2, 2016 (Domestic)",R,1 hr 40 min,Biography Drama,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.","['Natalie Portman', 'Peter Sarsgaard', 'Greta Gerwig', 'Billy Crudup']","['Pablo Larraín', 'Noah Oppenheim', 'Darren Aronofsky', 'Scott Franklin', 'Ari Handel', 'Juan de Dios Larraín', 'Mickey Liddell', 'Mica Levi', 'Stéphane Fontaine', 'Sebastián Sepúlveda', 'Jean Rabasse']"
"$6,541,205",Masterminds,Relativity Media,"September 22, 2016 (Brazil)",PG-13,1 hr 35 min,Biography Comedy Crime,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,"['Zach Galifianakis', 'Owen Wilson', 'Kristen Wiig', 'Ross Kimball']","['Jared Hess', 'Chris Bowman', 'Hubbel Palmer', 'Emily Spivey', 'Emily Spivey', 'Chris Bowman', 'Hubbel Palmer', 'John Goldwyn', 'Lorne Michaels', 'Geoff Zanelli', 'Erik Wilson', 'Keith Brachmann', 'David Rennie', 'Clayton Hartley']"
,Flight Crew,,"April 21, 2016 (Russia/CIS)",,2 hr 18 min,Action Adventure Drama,Aircraft crew members must put off their differences when a natural disaster threatens to death hundreds of tourists.,"['Danila Kozlovskiy', 'Vladimir Mashkov', 'Agne Grudyte', 'Sergey Kempo']","['Nikolay Lebedev', 'Tikhon Kornev', 'Yuriy Korotkov', 'Nikolay Kulikov', 'Nikolay Lebedev', 'Aleksey Onishchenko', 'Nikita Mikhalkov', 'Leonid Vereshchagin', 'Anton Zlatopolskiy', 'Artyom Vasilev', 'Irek Hartowicz', 'Konstantin Larchenko']"
,Viking,,"December 29, 2016 (Russia/CIS)",,2 hr 22 min,Action Drama History War,"Kievan Rus, late 10th century. After the death of his father, the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.","['Danila Kozlovskiy', 'Svetlana Khodchenkova', 'Maksim Sukhanov', 'Igor Petrenko']","['Andrey Kravchuk', 'Andrey Kravchuk', 'Johan Melin', 'Andrey Rubanov', 'Viktor Smirnov', 'Konstantin Ernst', 'Anatoliy Maksimov', 'Igor Matvienko', 'Dean Valentine', 'Igor Grinyakin', 'Anna Krutiy', 'Ilya Lebedev', 'Sergey Agin']"
"$1,108,650",M.S. Dhoni: The Untold Story,FIP,"September 29, 2016 (APAC, EMEA)",,3 hr 4 min,Biography Drama Sport,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,"['Sushant Singh Rajput', 'Kiara Advani', 'Disha Patani', 'Anupam Kher']","['Mathur Goswami', 'Neeraj Pandey', 'Neeraj Pandey', 'Neeraj Pandey', 'Dilip Jha', 'Guru Thakur', 'Mohinder Pratap Singh', 'Shyam Maheshwari', 'Ouch', 'Arun Pandey', 'Sanjoy Chowdhury', 'Rochak Kohli', 'Amaal Mallik', 'Fardeen Rapper', 'Sudhir Palsane', 'Shree Narayan Singh', 'Sunil Babu']"
"$1,382,871",Fan,Yash Raj Films,"April 14, 2016 (APAC, EMEA)",,2 hr 18 min,Action Drama Thriller,Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,"['Shah Rukh Khan', 'Shriya Pilgaonkar', 'Sayani Gupta', ""Waluscha D'Souza""]","['Maneesh Sharma', 'Maneesh Sharma', 'Habib Faisal', 'Habib Faisal', 'Sharat Katariya', 'Aditya Chopra', 'Vishal Dadlani', 'Andrea Guerra', 'Shekhar Ravjiani', 'Manu Anand', 'Namrata Rao', 'Rashmi Sethi', 'Abid T.P.']"
,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!",,"December 17, 2016 (Japan)",,1 hr 39 min,Animation Comedy Family Fantasy,When a giant flying whale suddenly appears over Sakura New Town and its sound is heard the Yo-Kai undergo a transformation. The characters soon realize that as a result they have become corporeal and exist in a material world. This is the third film in the Yok-Kai Watch series based on the hit game.,"['Risa Ai', 'Hibiki Aoi', 'Naoki Bando', 'Kenichi Endo']","['Shinji Ushiro', 'Takeshi Yokoi', 'Akihiro Hino', 'Yôichi Katô', 'Yôichi Katô']"
,Welcome to Germany,,"November 3, 2016 (Germany)",,1 hr 56 min,Comedy Drama,"When a well-off Munich family takes in Diallo, a refugee from Nigeria, he soon makes friends among the family members, but they are tested when they must face racism, bureaucracy, and terror suspicions because of him.","['Senta Berger', 'Heiner Lauterbach', 'Florian David Fitz', 'Palina Rojinski']","['Simon Verhoeven', 'Simon Verhoeven', 'Quirin Berg', 'Simone Ruff', 'Michael Verhoeven', 'Simon Verhoeven', 'Max Wiedemann', 'Gary Go', 'Jo Heim', 'Denis Bachter', 'Stefan Essl', 'Tom Seil', 'Eva Stiebler']"
"$3,258,327",The Brothers Grimsby,Sony Pictures Releasing,"February 24, 2016 (Sweden)",R,1 hr 23 min,Action Adventure Comedy Crime,A new assignment forces a top spy to team up with his football hooligan brother.,"['Sacha Baron Cohen', 'Mark Strong', 'Rebel Wilson', 'Freddie Crowder']","['Louis Leterrier', 'Sacha Baron Cohen', 'Phil Johnston', 'Sacha Baron Cohen', 'Phil Johnston', 'Peter Baynham', 'Sacha Baron Cohen', 'Peter Baynham', 'Anthony Hines', 'Nira Park', 'Todd Schulman', 'Erran Baron Cohen', 'David Buckley', 'Oliver Wood', 'Jonathan Amos', 'Evan Henke', 'Debra Neil-Fisher', 'James Thomas', 'Kave Quinn']"
,When Larry Meets Mary,,"July 14, 2016 (New Zealand)",,,Comedy Romance,WenZhang shows his love to his wife MaYili by making this movies. A wish to two happy people for a future of dreams comes true.,"['Jia Song', 'Yili Ma', 'Yu Bai', 'Yawen Zhu']","['Zhang Wen', 'Yuan Feng', 'Zhichao Ha', 'Zhang Wen', 'Albert Soler Cuyàs', 'Qingqing Liu', 'Santu Lu', 'Yue Lv', 'Long Zhao', 'Luan Shi', 'Derek Hui', 'Xiaolin Zhou']"
