Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$22,079,481",Road to Perdition,DreamWorks Distribution,"July 12, 2002 (Domestic)",R,1 hr 57 min,,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.","['Tom Hanks', 'Tyler Hoechlin', 'Paul Newman']","['Sam Mendes', 'Max Allan Collins', 'Richard Piers Rayner', 'David Self', 'Sam Mendes', 'Dean Zanuck', 'Richard D. Zanuck', 'Thomas Newman', 'Conrad L. Hall', 'Jill Bilcock', 'Dennis Gassner']"
"$35,648,740",Sweet Home Alabama,Walt Disney Studios Motion Pictures,"September 27, 2002 (Domestic)",PG-13,1 hr 48 min,,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,"['Reese Witherspoon', 'Patrick Dempsey', 'Josh Lucas', 'Candice Bergen']","['Andy Tennant', 'Douglas J. Eboch', 'C. Jay Cox', 'Stokely Chaffin', 'Neal H. Moritz', 'George Fenton', 'Andrew Dunn', 'Troy Takaki', 'Tracey Wadmore-Smith', 'Clay A. Griffith']"
"$36,075,875",The Scorpion King,Universal Pictures,"April 18, 2002 (APAC)",PG-13,1 hr 32 min,,"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.","['Dwayne Johnson', 'Steven Brand', 'Michael Clarke Duncan', 'Kelly Hu']","['Chuck Russell', 'Stephen Sommers', 'Jonathan Hales', 'Stephen Sommers', 'William Osborne', 'David Hayter', 'Stephen Sommers', 'Sean Daniel', 'James Jacks', 'Kevin Misher', 'Stephen Sommers', 'John Debney', 'John R. Leonetti', 'Greg Parsons', 'Michael Tronick', 'Ed Verreaux']"
"$17,800,000",Hero,Miramax,"December 19, 2002 (APAC, China)",PG-13,2 hr,,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","['Jet Li', 'Tony Leung Chiu-wai', 'Maggie Cheung', 'Ziyi Zhang']","['Yimou Zhang', 'Feng Li', 'Yimou Zhang', 'Bin Wang', 'William Kong', 'Sook Yhun', 'Yimou Zhang', 'Dun Tan', 'Christopher Doyle', 'Angie Lam', 'Vincent Lee', 'Ru Zhai', 'Tingxiao Huo', 'Zhenzhou Yi']"
"$29,008,696",The Santa Clause 2,Walt Disney Studios Motion Pictures,"November 1, 2002 (Domestic)",,1 hr 44 min,Comedy Family Fantasy,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.","['Tim Allen', 'Spencer Breslin', 'Elizabeth Mitchell', 'Eric Lloyd']","['Michael Lembeck', 'Don Rhymer', 'Cinco Paul', 'Ken Daurio', 'Ed Decter', 'John J. Strauss', 'Leo Benvenuti', 'Steve Rudnick', 'Leo Benvenuti', 'Steve Rudnick', 'Robert F. Newmyer', 'Brian Reilly', 'Jeffrey Silver', 'George S. Clinton', 'Adam Greenberg', 'David Finfer', 'Tony Burrough']"
"$37,162,787",Mr. Deeds,Sony Pictures Releasing,"June 28, 2002 (Domestic)",PG-13,1 hr 36 min,,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.","['Adam Sandler', 'Winona Ryder', 'John Turturro', 'Allen Covert']","['Steven Brill', 'Clarence Budington Kelland', 'Robert Riskin', 'Tim Herlihy', 'Sidney Ganis', 'Jack Giarraputo', 'Teddy Castellucci', 'Peter Lyons Collister', 'Jeff Gourson', 'Perry Andelin Blake']"
"$15,115,152",Stuart Little 2,Sony Pictures Releasing,"July 18, 2002 (Netherlands)",PG,1 hr 17 min,,Stuart and Snowbell set out across town to rescue a friend.,"['Michael J. Fox', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki']","['Rob Minkoff', 'E.B. White', 'Douglas Wick', 'Bruce Joel Rubin', 'Bruce Joel Rubin', 'Lucy Fisher', 'Douglas Wick', 'Alan Silvestri', 'Steven Poster', 'Priscilla Nedd-Friendly', 'Bill Brzeski']"
"$32,528,016",Blade II,New Line Cinema,"March 22, 2002 (Domestic)",R,1 hr 57 min,,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela']","['Guillermo del Toro', 'Marv Wolfman', 'Gene Colan', 'David S. Goyer', 'Peter Frankfurt', 'Tomas Krejci', 'Patrick J. Palmer', 'Wesley Snipes', 'Marco Beltrami', 'Gabriel Beristain', 'Peter Amundson', 'Carol Spier']"
"$18,711,407",Maid in Manhattan,Revolution Studios,"December 13, 2002 (Domestic)",PG-13,1 hr 45 min,,"A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress.","['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci']","['Wayne Wang', 'John Hughes', 'Kevin Wade', 'Elaine Goldsmith-Thomas', 'Paul Schiff', 'Deborah Schindler', 'Alan Silvestri', 'Karl Walter Lindenlaub', 'Craig McKay', 'Jane Musky']"
"$8,557,630",About a Boy,Universal Pictures,"April 26, 2002 (United Kingdom)",PG-13,1 hr 41 min,,"Will, who attends single parent meetings to woo women, meets Marcus, a troubled 12-year-old boy. As they become friends, Will learns to be responsible while he helps Marcus with his studies.","['Hugh Grant', 'Nicholas Hoult', 'Toni Collette', 'Sharon Small']","['Chris Weitz', 'Paul Weitz', 'Nick Hornby', 'Peter Hedges', 'Chris Weitz', 'Paul Weitz', 'Tim Bevan', 'Robert De Niro', 'Brad Epstein', 'Eric Fellner', 'Jane Rosenthal', 'Badly Drawn Boy', 'Remi Adefarasin', 'Nick Moore', 'Jim Clay']"
"$489,488",Space Station 3D,IMAX,"April 19, 2002 (Domestic)",,47 min,Documentary,From outer space countries don't exist.,"['Tom Cruise', 'James Arnold', 'Michael J. Bloomfield', 'Robert D. Cabana']","['Toni Myers', 'Toni Myers', 'Toni Myers', 'Micky Erbe', 'Maribeth Solomon', 'James Neihouse', 'Toni Myers']"
"$22,610,437",The Time Machine,DreamWorks Distribution,"March 8, 2002 (Domestic)",PG-13,1 hr 36 min,,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.","['Guy Pearce', 'Yancey Arias', 'Mark Addy', 'Phyllida Law']","['Simon Wells', 'H.G. Wells', 'David Duncan', 'John Logan', 'Walter F. Parkes', 'David Valdes', 'Klaus Badelt', 'Donald McAlpine', 'Wayne Wahrman', 'Oliver Scholl']"
"$17,770,036",Spirit: Stallion of the Cimarron,DreamWorks Distribution,"May 24, 2002 (Domestic)",G,1 hr 23 min,,A captured mustang remains determined to return to his herd no matter what.,"['Matt Damon', 'James Cromwell', 'Daniel Studi', 'Chopper Bernet']","['Kelly Asbury', 'Lorna Cook', 'John Fusco', 'Jeffrey Katzenberg', 'Mireille Soria', 'Hans Zimmer', 'Nick Fletcher', 'Clare Knight', 'Kathy Altieri']"
"$111,261",The Pianist,Focus Features,"January 12, 2002 (Taiwan)",R,2 hr 30 min,,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']","['Roman Polanski', 'Ronald Harwood', 'Wladyslaw Szpilman', 'Robert Benmussa', 'Roman Polanski', 'Alain Sarde', 'Wojciech Kilar', 'Pawel Edelman', 'Hervé de Luze', 'Allan Starski']"
"$16,711,716",Spy Kids 2: Island of Lost Dreams,Dimension Films,"August 7, 2002 (Domestic)",PG,1 hr 40 min,,"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids.","['Alexa PenaVega', 'Daryl Sabara', 'Antonio Banderas', 'Carla Gugino']","['Robert Rodriguez', 'Robert Rodriguez', 'Elizabeth Avellan', 'Robert Rodriguez', 'John Debney', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez']"
